"cm_id","X_Easting","Y_Northing","timestamp","date","year","month","hour","minutes","julian_day","timegroup","group","sna_degrees","farm_id"
"62",1430529.9458114,5083135.86865182,2020-02-08 11:07:19,2020-02-08,2020,"Feb",11,8,39,422,422,37,"1"
"64",1430528.94457313,5083082.37848189,2020-02-08 11:07:18,2020-02-08,2020,"Feb",11,8,39,422,422,37,"1"
"66",1430533.49462732,5083094.38999333,2020-02-08 11:07:14,2020-02-08,2020,"Feb",11,8,39,422,422,37,"1"
"67",1430523.49244796,5083056.00490318,2020-02-08 11:07:03,2020-02-08,2020,"Feb",11,8,39,422,422,37,"1"
"68",1430523.49244796,5083056.00490318,2020-02-08 11:07:08,2020-02-08,2020,"Feb",11,8,39,422,422,37,"1"
"70",1430523.27306452,5083064.44676134,2020-02-08 11:07:09,2020-02-08,2020,"Feb",11,8,39,422,422,37,"1"
"71",1430518.74733087,5083146.58169544,2020-02-08 11:07:16,2020-02-08,2020,"Feb",11,8,39,422,422,37,"1"
"73",1430520.76772549,5083114.84470381,2020-02-08 11:07:17,2020-02-08,2020,"Feb",11,8,39,422,422,37,"1"
"76",1430505.46025004,5083188.58532986,2020-02-08 11:07:16,2020-02-08,2020,"Feb",11,8,39,422,422,37,"1"
"79",1430534.15561911,5083068.95334257,2020-02-08 11:07:06,2020-02-08,2020,"Feb",11,8,39,422,422,37,"1"
"80",1430532.68659691,5083079.47461679,2020-02-08 11:07:13,2020-02-08,2020,"Feb",11,8,39,422,422,37,"1"
"81",1430507.23276278,5083120.38401078,2020-02-08 11:07:27,2020-02-08,2020,"Feb",11,8,39,422,422,37,"1"
"82",1430521.09968703,5083102.07084034,2020-02-08 11:07:09,2020-02-08,2020,"Feb",11,8,39,422,422,37,"1"
"83",1430538.20056187,5083100.40333892,2020-02-08 11:07:12,2020-02-08,2020,"Feb",11,8,39,422,422,37,"1"
"85",1430544.90369534,5083075.56829997,2020-02-08 11:07:03,2020-02-08,2020,"Feb",11,8,39,422,422,37,"1"
"86",1430537.49042032,5083173.74525161,2020-02-08 11:06:08,2020-02-08,2020,"Feb",11,8,39,422,422,37,"1"
"86",1430517.71392258,5083186.34728467,2020-02-08 11:09:51,2020-02-08,2020,"Feb",11,8,39,422,422,37,"1"
"87",1430538.86153405,5083074.96668839,2020-02-08 11:07:09,2020-02-08,2020,"Feb",11,8,39,422,422,37,"1"
"88",1430516.40531309,5083095.61317373,2020-02-08 11:07:16,2020-02-08,2020,"Feb",11,8,39,422,422,37,"1"
"90",1430556.27114684,5083153.44779935,2020-02-08 11:07:19,2020-02-08,2020,"Feb",11,8,39,422,422,37,"1"
"93",1430538.12854311,5083057.16330826,2020-02-08 11:07:24,2020-02-08,2020,"Feb",11,8,39,422,422,37,"1"
"94",1430536.27408316,5083033.43972433,2020-02-08 11:07:12,2020-02-08,2020,"Feb",11,8,39,422,422,37,"1"
"95",1430531.06306415,5083046.86486516,2020-02-08 11:07:18,2020-02-08,2020,"Feb",11,8,39,422,422,37,"1"
"96",1430533.72554117,5083085.50382722,2020-02-08 11:07:01,2020-02-08,2020,"Feb",11,8,39,422,422,37,"1"
"97",1430523.92113592,5083088.58360741,2020-02-08 11:07:08,2020-02-08,2020,"Feb",11,8,39,422,422,37,"1"
"98",1430516.89028125,5083076.95222477,2020-02-08 11:07:24,2020-02-08,2020,"Feb",11,8,39,422,422,37,"1"
"99",1430528.87818343,5083084.93325467,2020-02-08 11:07:13,2020-02-08,2020,"Feb",11,8,39,422,422,37,"1"
"100",1430525.20254602,5083085.28234492,2020-02-08 11:07:10,2020-02-08,2020,"Feb",11,8,39,422,422,37,"1"
"104",1430533.45695299,5083141.85095109,2020-02-08 11:07:03,2020-02-08,2020,"Feb",11,8,39,422,422,37,"1"
"105",1430526.85920712,5083067.54106196,2020-02-08 11:07:26,2020-02-08,2020,"Feb",11,8,39,422,422,37,"1"
"106",1430542.52561942,5083075.06189893,2020-02-08 11:07:22,2020-02-08,2020,"Feb",11,8,39,422,422,37,"1"
"107",1430539.47632722,5083051.3072703,2020-02-08 11:07:09,2020-02-08,2020,"Feb",11,8,39,422,422,37,"1"
"110",1430522.14877985,5083156.78492929,2020-02-08 11:07:28,2020-02-08,2020,"Feb",11,8,39,422,422,37,"1"
"116",1430527.54887289,5083087.01060004,2020-02-08 11:07:05,2020-02-08,2020,"Feb",11,8,39,422,422,37,"1"
"130",1430539.05780579,5083067.41344702,2020-02-08 11:07:17,2020-02-08,2020,"Feb",11,8,39,422,422,37,"1"
"137",1430546.48237406,5083060.82609444,2020-02-08 11:07:09,2020-02-08,2020,"Feb",11,8,39,422,422,37,"1"
"140",1430549.84917633,5083072.36224011,2020-02-08 11:07:00,2020-02-08,2020,"Feb",11,8,39,422,422,37,"1"
"142",1430506.61349173,5083193.28368931,2020-02-08 11:07:07,2020-02-08,2020,"Feb",11,8,39,422,422,37,"1"
