cm_id,X_Easting,Y_Northing,timestamp,group
100,1430021.33439164,5083144.6402492,2020-02-07 00:02:16,1
100,1430021.33439164,5083144.6402492,2020-02-07 00:07:02,2
137,1430019.45342504,5083170.93437398,2020-02-07 00:02:16,1
137,1430019.45342504,5083170.93437398,2020-02-07 00:07:06,2
70,1430058.55045085,5083209.18936243,2020-02-07 00:02:05,1
70,1430058.55045085,5083209.18936243,2020-02-07 00:07:14,2
71,1430035.46835549,5083162.0149546,2020-02-07 00:02:07,1
71,1430035.46835549,5083162.0149546,2020-02-07 00:07:24,2
75,1430037.07791642,5083195.06919828,2020-02-07 00:02:28,1
75,1430037.07791642,5083195.06919828,2020-02-07 00:07:19,2
